timestamp,words,requests,replies,numberOfLetters,scrabbleScore,letterword,player,letterReply,playerReply
2017-07-21 19:55:39,0,0,0,0,0,,,,
2017-07-21 19:55:40,0,0,0,0,0,,,,
2017-07-21 19:55:41,0,0,0,0,0,,,,
2017-07-21 19:55:42,0,0,0,0,0,,,,
2017-07-21 19:55:43,0,0,0,0,0,,,,
2017-07-21 19:55:44,0,0,0,0,0,,,,
2017-07-21 19:55:45,0,0,0,0,0,,,,
2017-07-21 19:55:46,0,0,0,0,0,,,,
2017-07-21 19:55:47,0,0,0,0,0,,,,
2017-07-21 19:55:48,0,0,0,0,0,,,,
2017-07-21 19:55:49,0,1,1,0,0,,9d6txfsy,R,bk4ieibh
2017-07-21 19:55:50,0,0,0,0,0,,,,
2017-07-21 19:55:51,0,0,0,0,0,,,,
2017-07-21 19:55:52,0,0,0,0,0,,,,
2017-07-21 19:55:53,0,0,0,0,0,,,,
2017-07-21 19:55:54,0,0,0,0,0,,,,
2017-07-21 19:55:55,0,0,0,0,0,,,,
2017-07-21 19:55:56,0,0,0,0,0,,,,
2017-07-21 19:55:57,0,0,0,0,0,,,,
2017-07-21 19:55:58,0,0,0,0,0,,,,
2017-07-21 19:55:59,1,0,0,3,3,,,ros,
2017-07-21 19:56:00,0,0,0,0,0,,,,
2017-07-21 19:56:01,0,0,0,0,0,,,,
2017-07-21 19:56:02,0,0,0,0,0,,,,
2017-07-21 19:56:03,0,0,0,0,0,,,,
2017-07-21 19:56:04,1,0,0,3,3,,,sor,
2017-07-21 19:56:05,0,0,0,0,0,,,,
2017-07-21 19:56:06,1,0,0,3,7,,,hag,
2017-07-21 19:56:07,0,0,0,0,0,,,,
2017-07-21 19:56:08,0,0,0,0,0,,,,
2017-07-21 19:56:09,0,0,0,0,0,,,,
2017-07-21 19:56:10,0,0,0,0,0,,,,
2017-07-21 19:56:11,2,0,0,7,8,,,ross-arg,
2017-07-21 19:56:12,0,0,0,0,0,,,,
2017-07-21 19:56:13,0,0,0,0,0,,,,
2017-07-21 19:56:14,0,0,0,0,0,,,,
2017-07-21 19:56:15,0,0,0,0,0,,,,
2017-07-21 19:56:16,0,0,0,0,0,,,,
2017-07-21 19:56:17,0,0,0,0,0,,,,
2017-07-21 19:56:18,0,0,0,0,0,,,,
2017-07-21 19:56:19,1,0,0,4,6,,,cass,
2017-07-21 19:56:20,0,0,0,0,0,,,,
2017-07-21 19:56:21,0,1,1,0,0,,9d6txfsy,D,ku7sgxda
