timestamp,words,requests,replies,numberOfLetters,scrabbleScore,letterword,player,letterReply,playerReply
2017-07-27 20:46:43,1,0,0,4,6,,,bone,
2017-07-27 20:46:44,2,0,0,11,11,,,situates-nes,
2017-07-27 20:46:45,0,0,0,0,0,,,,
2017-07-27 20:46:46,0,0,0,0,0,,,,
2017-07-27 20:46:47,0,0,0,0,0,,,,
2017-07-27 20:46:48,0,0,0,0,0,,,,
2017-07-27 20:46:49,1,0,0,3,5,,,bon,
2017-07-27 20:46:50,0,0,1,0,0,I,v7hqx6y9,,peh9x2qq
2017-07-27 20:46:51,0,0,0,0,0,,,,
2017-07-27 20:46:52,2,0,0,7,9,,,teat-sub,
2017-07-27 20:46:53,0,0,0,0,0,,,,
2017-07-27 20:46:54,0,0,0,0,0,,,,
2017-07-27 20:46:55,0,0,0,0,0,,,,
2017-07-27 20:46:56,1,1,1,4,4,,bica5cnd,Q-tine,h9em0uts
2017-07-27 20:46:57,1,0,33,4,6,Q,bica5cnd,subs,h9em0uts
2017-07-27 20:46:58,2,0,33,8,12,,,bun-stubs,
2017-07-27 20:46:59,1,0,33,3,5,,,bin,
2017-07-27 20:47:00,2,0,33,8,12,,,stub-bine,
2017-07-27 20:47:01,0,0,33,0,0,,,,
2017-07-27 20:47:02,1,0,33,3,3,,,ton,
